,text
287, _ how pete buttigieg can actually be compared to george washington is truly beyond me
288,"tom steyer
pete buttigieg
amy klobuchar
flavor flav
judge judy
chris matthews

it’s still monday"
289, right now i will be more surprised with a sanders blowout than a biden one even t… 
290,my guess is her ego will not abide a vp to this codger she wants the big chair she will just swoop in without having… 
291,"president trump on klobuchar buttigieg dropping out: ""probably they'll say 'hey look if i win i'll put you in the… "
292,obama phone call encourages buttigieg to use his ‘considerable leverage’ amid rumors of biden endorsement: report –… 
293,"big ""buh bye losers"" energy here this dude really is just an upgraded trump with more malice "
294, _inc i’m saying this as a bernie fan unfortunately most of buttigieg and k… 
295,klobuchar and buttigieg become the second and third democrat to abandon their presidential bids since biden scored… 
296,what happens to early votes already cast for klobuchar and buttigieg 
297,"dnc plan it is then
"
298,pete buttigieg's failed campaign was built on hate and lies 
299,"nolte: pete buttigieg's failed campaign was built on hate and lies
bye bye ⁦⁩ "
300,biden nabs klobuchar buttigieg backing on super tuesday eve 
301, reports from the campaign trail where amy klobuchar and pete buttigieg set to endorse joe biden af… 
302,homophobia hurt pete buttigieg — as much as america wished it did not 
303, buttigieg ballot already marked
304,buttigieg klobuchar matthews so far march is going great 
305,"new: texas _inc poll

bernie %
biden %
bloomberg %
warren %

buttigieg %
klobuchar %

if buttigieg… "
306,"it’s a good day

✅pete buttigieg out
✅amy klobuchar out 
✅chris matthews at msnbc out"
307,in less than hours bernie has taken out buttigieg flavor flav klobuchar and chris matthews the movement cannot be stopped
308, pete buttigieg beto by the way matthews actually announced he was quitting and then walked off his own show
309,"klobuchar out buttigieg out steyer out 

how the hell is tulsi gabbard still in this"
310,virtually overnight fivethirtyeight went from projecting bernie with a huge lead to now being tied with biden to g… 
311,pete buttigieg plans to endorse joe biden for the democratic presidential nomination 
312, _inc they're not actually buttigieg and klobuchar voters will put biden over the top
313,"what happens to early votes already cast for klobuchar and buttigieg by molly olmstead //

so what happen… "
314,buttigieg staffers seem like really jolly welladjusted happy folks 
315,"interpol and deutsche bank
buttigieg and klobuchar
interpol and deutsche bank
buttigieg and klobuchar

business nu… "
316,two choices: warren or biden period buttigieg’s historic candidacy is over where do gay rights groups want to go… 
317, _inc i think if klobucher and buttigieg we’re still in it bernie might’ve won this state bu… 
318,"with buttigieg and klobuchar set to endorse biden this story’s thesis is even more true than before

both warren… "
319,after being majorly dragged for his moderate platform and failure to reach black and latinx voters mayor pete exit… 
320, i said the same thing to people who have recently dissed buttigieg and klobuchar *af… 
