,text
378,joe biden offered pete buttigieg a job in his administration and may have broken the law doing so… 
379,elizabeth warren fifth place in napabehind pete buttigieg
380, th in south carolina behind steyer and buttigieg who dropped out after less black voters than bu… 
381,joe biden for president of the united states of america and pete buttigieg for vice president that's a winning team
382, _smith lol his big donors cut off his money & told him what would happen if he continued his… 
383,bernie supporters yesterday: klobuchar and buttigieg shouldn’t have left the campaign and they shouldn’t have endo… 
384,"buttigieg’s unlikely run ended last night as strangely as it began 
"
385,it's kind of gross to imply that buttigieg/klobuchar dropped out simply to help biden they never ever ever had the… 
386, give it a rest bernie the democrat voters have spoken & will continue to speak you know full well… 
387,the supporters of buttigieg and klobuchar switched their allegiance to biden they are afraid bernie sanders will d… 
388,_ what's really sad about the prospect of a biden nomination is i do not think we lacked for some real… 
389, i’m not discounting the media’s rile coming into super tuesday biden had yet to outright win a prima… 
390,"""the member of team buttigieg i’ll personally miss the most is his loving dramateaching selfidentified 'rescue… "
391,i suspect biden will extensively use klobuchar o'rourke and buttigieg on the campaign trail to help him o'rourke… 
392, i really liked warren and buttigieg this feels like nominating kerry or clinton all over a… 
393, warren was always my number but i had a number a caucus makes you think min… 
394,pete buttigieg and the republican lie via orte butt fucker is doing better for his… 
395, no candidate gets % c… 
396, my family is dealing with dementia now there should be ways to disqualify people from running for of… 
397,_jollett she’s not actually buttigieg was the best candidate and he dropped out
398, how much did you bet on buttigieg
399,"politics 

probably buttigieg "
400,"bloomberg buttigieg and klobuchar are predictable because whatever they are at least you know who they are

wit… "
401, _ding biden has always been a spotty orator it’s not fair to armchair diagnose him with dementia/de… 
402,i’m a black bernie supporter there’s no privilege here but not that i moved from nyc to a swing state if not… 
403," vp kamala harris 
romney treasury 
bloomberg commerce
warren education… "
404, well amy evidently you have not experienced the attacks of buttigieg and biden supporters like i have o… 
405,turns out my little brother i thought was the cooler of little brothers was a buttigieg supporter😔😔 it’s always the ones u least expect 
406,with tulsigabbard outlasting harris buttigieg klobuchar and bloomberg and now poised to appear in the next deba… 
